ENSMUSG00000064341	ENSHGLG00000000006
ENSMUSG00000055368	ENSHGLG00000006203
ENSMUSG00000036285	ENSHGLG00000006204
ENSMUSG00000043929	ENSHGLG00000006205
ENSMUSG00000026436	ENSHGLG00000006206
ENSMUSG00000045106	ENSHGLG00000006208
ENSMUSG00000039706	ENSHGLG00000006209
ENSMUSG00000021483	ENSHGLG00000006210
ENSMUSG00000032818	ENSHGLG00000006211
ENSMUSG00000001566	ENSHGLG00000006212
ENSMUSG00000110628	ENSHGLG00000006214
ENSMUSG00000017132	ENSHGLG00000006215
ENSMUSG00000045648	ENSHGLG00000006216
ENSMUSG00000028433	ENSHGLG00000006217
ENSMUSG00000069678	ENSHGLG00000006218
ENSMUSG00000074277	ENSHGLG00000006219
ENSMUSG00000030691	ENSHGLG00000006220
ENSMUSG00000001844	ENSHGLG00000006221
ENSMUSG00000031972	ENSHGLG00000006223
ENSMUSG00000050312	ENSHGLG00000006224
ENSMUSG00000021260	ENSHGLG00000006225
ENSMUSG00000102543	ENSHGLG00000006226
ENSMUSG00000036899	ENSHGLG00000006227
ENSMUSG00000042050	ENSHGLG00000006228
ENSMUSG00000076572	ENSHGLG00000006231
ENSMUSG00000015627	ENSHGLG00000006232
ENSMUSG00000031985	ENSHGLG00000006233
ENSMUSG00000011589	ENSHGLG00000006238
ENSMUSG00000041375	ENSHGLG00000006240
ENSMUSG00000041014	ENSHGLG00000006241
ENSMUSG00000003437	ENSHGLG00000006242
ENSMUSG00000047911	ENSHGLG00000006243
ENSMUSG00000025726	ENSHGLG00000006244
ENSMUSG00000043542	ENSHGLG00000006246
ENSMUSG00000022342	ENSHGLG00000006248
ENSMUSG00000034343	ENSHGLG00000006249
ENSMUSG00000052353	ENSHGLG00000006251
ENSMUSG00000056586	ENSHGLG00000006253
ENSMUSG00000015120	ENSHGLG00000006254
ENSMUSG00000019763	ENSHGLG00000006256
ENSMUSG00000037455	ENSHGLG00000006257
ENSMUSG00000032221	ENSHGLG00000006258
ENSMUSG00000003420	ENSHGLG00000006259
ENSMUSG00000025130	ENSHGLG00000006261
ENSMUSG00000054720	ENSHGLG00000006264
ENSMUSG00000030468	ENSHGLG00000006266
ENSMUSG00000037331	ENSHGLG00000006267
ENSMUSG00000059447	ENSHGLG00000006268
ENSMUSG00000079111	ENSHGLG00000006270
ENSMUSG00000020428	ENSHGLG00000006271
ENSMUSG00000021983	ENSHGLG00000006272
ENSMUSG00000072941	ENSHGLG00000006273
ENSMUSG00000024118	ENSHGLG00000006274
ENSMUSG00000022579	ENSHGLG00000006275
ENSMUSG00000091519	ENSHGLG00000006276
ENSMUSG00000016756	ENSHGLG00000006277
ENSMUSG00000005102	ENSHGLG00000006278
ENSMUSG00000064293	ENSHGLG00000006279
ENSMUSG00000047777	ENSHGLG00000006281
ENSMUSG00000087370	ENSHGLG00000006282
ENSMUSG00000025731	ENSHGLG00000006283
ENSMUSG00000035270	ENSHGLG00000006284
ENSMUSG00000031591	ENSHGLG00000006285
ENSMUSG00000026786	ENSHGLG00000006286
ENSMUSG00000021288	ENSHGLG00000006287
ENSMUSG00000038246	ENSHGLG00000006289
ENSMUSG00000021182	ENSHGLG00000006291
ENSMUSG00000026781	ENSHGLG00000006294
ENSMUSG00000030670	ENSHGLG00000006296
ENSMUSG00000029120	ENSHGLG00000006297
ENSMUSG00000067860	ENSHGLG00000006298
ENSMUSG00000025503	ENSHGLG00000006299
ENSMUSG00000041468	ENSHGLG00000006301
ENSMUSG00000008035	ENSHGLG00000006303
ENSMUSG00000021763	ENSHGLG00000006304
ENSMUSG00000076928	ENSHGLG00000006305
ENSMUSG00000096883	ENSHGLG00000006306
ENSMUSG00000021492	ENSHGLG00000006308
ENSMUSG00000022000	ENSHGLG00000006309
ENSMUSG00000039911	ENSHGLG00000006310
ENSMUSG00000020802	ENSHGLG00000006311
ENSMUSG00000056648	ENSHGLG00000006313
ENSMUSG00000038014	ENSHGLG00000006314
ENSMUSG00000018412	ENSHGLG00000006315
ENSMUSG00000037152	ENSHGLG00000006316
ENSMUSG00000025420	ENSHGLG00000006317
ENSMUSG00000026251	ENSHGLG00000006318
ENSMUSG00000025754	ENSHGLG00000006320
ENSMUSG00000013622	ENSHGLG00000006321
ENSMUSG00000056306	ENSHGLG00000006322
ENSMUSG00000030093	ENSHGLG00000006325
ENSMUSG00000109324	ENSHGLG00000006326
ENSMUSG00000030507	ENSHGLG00000006330
ENSMUSG00000079608	ENSHGLG00000006332
ENSMUSG00000049553	ENSHGLG00000006334
ENSMUSG00000051984	ENSHGLG00000006335
ENSMUSG00000039463	ENSHGLG00000006337
ENSMUSG00000022243	ENSHGLG00000006340
ENSMUSG00000049093	ENSHGLG00000006341
ENSMUSG00000006311	ENSHGLG00000006342
ENSMUSG00000090326	ENSHGLG00000006344
ENSMUSG00000023456	ENSHGLG00000006345
ENSMUSG00000048899	ENSHGLG00000006347
ENSMUSG00000004035	ENSHGLG00000006348
ENSMUSG00000031519	ENSHGLG00000006349
ENSMUSG00000029636	ENSHGLG00000006350
ENSMUSG00000022376	ENSHGLG00000006351
ENSMUSG00000001029	ENSHGLG00000006353
ENSMUSG00000040086	ENSHGLG00000006354
ENSMUSG00000005980	ENSHGLG00000006355
ENSMUSG00000044056	ENSHGLG00000006358
ENSMUSG00000037010	ENSHGLG00000006359
ENSMUSG00000038178	ENSHGLG00000006362
ENSMUSG00000024664	ENSHGLG00000006364
ENSMUSG00000003464	ENSHGLG00000006365
ENSMUSG00000053565	ENSHGLG00000006367
ENSMUSG00000028640	ENSHGLG00000006368
ENSMUSG00000020250	ENSHGLG00000006372
ENSMUSG00000019256	ENSHGLG00000006373
ENSMUSG00000022555	ENSHGLG00000006374
ENSMUSG00000079563	ENSHGLG00000006376
ENSMUSG00000031574	ENSHGLG00000006377
ENSMUSG00000026836	ENSHGLG00000006379
ENSMUSG00000038146	ENSHGLG00000006380
ENSMUSG00000015647	ENSHGLG00000006381
ENSMUSG00000061079	ENSHGLG00000006384
ENSMUSG00000043183	ENSHGLG00000006385
ENSMUSG00000041644	ENSHGLG00000006386
ENSMUSG00000031561	ENSHGLG00000006389
ENSMUSG00000037406	ENSHGLG00000006390
ENSMUSG00000028463	ENSHGLG00000006391
ENSMUSG00000029348	ENSHGLG00000006392
ENSMUSG00000025964	ENSHGLG00000006393
ENSMUSG00000016179	ENSHGLG00000006394
ENSMUSG00000034586	ENSHGLG00000006397
ENSMUSG00000029847	ENSHGLG00000006398
ENSMUSG00000048701	ENSHGLG00000006399
ENSMUSG00000004473	ENSHGLG00000006400
ENSMUSG00000037525	ENSHGLG00000006401
ENSMUSG00000024395	ENSHGLG00000006402
ENSMUSG00000049692	ENSHGLG00000006404
ENSMUSG00000067071	ENSHGLG00000006405
ENSMUSG00000026628	ENSHGLG00000006406
ENSMUSG00000033004	ENSHGLG00000006408
ENSMUSG00000018599	ENSHGLG00000006410
ENSMUSG00000022434	ENSHGLG00000006413
ENSMUSG00000027670	ENSHGLG00000006415
ENSMUSG00000029655	ENSHGLG00000006416
ENSMUSG00000051510	ENSHGLG00000006417
ENSMUSG00000057604	ENSHGLG00000006418
ENSMUSG00000021728	ENSHGLG00000006419
ENSMUSG00000022973	ENSHGLG00000006420
ENSMUSG00000004356	ENSHGLG00000006422
ENSMUSG00000010142	ENSHGLG00000006423
ENSMUSG00000063802	ENSHGLG00000006425
ENSMUSG00000022237	ENSHGLG00000006426
ENSMUSG00000022269	ENSHGLG00000006427
ENSMUSG00000000244	ENSHGLG00000006428
ENSMUSG00000042499	ENSHGLG00000006431
ENSMUSG00000027579	ENSHGLG00000006434
ENSMUSG00000051439	ENSHGLG00000006436
ENSMUSG00000005640	ENSHGLG00000006437
ENSMUSG00000029707	ENSHGLG00000006438
ENSMUSG00000057132	ENSHGLG00000006439
ENSMUSG00000039741	ENSHGLG00000006440
ENSMUSG00000078485	ENSHGLG00000006441
ENSMUSG00000036943	ENSHGLG00000006443
ENSMUSG00000003484	ENSHGLG00000006444
ENSMUSG00000033382	ENSHGLG00000006445
ENSMUSG00000050503	ENSHGLG00000006447
ENSMUSG00000006611	ENSHGLG00000006448
ENSMUSG00000036820	ENSHGLG00000006451
ENSMUSG00000034724	ENSHGLG00000006452
ENSMUSG00000037196	ENSHGLG00000006454
ENSMUSG00000051079	ENSHGLG00000006457
ENSMUSG00000024056	ENSHGLG00000006458
ENSMUSG00000086598	ENSHGLG00000006459
ENSMUSG00000062044	ENSHGLG00000006463
ENSMUSG00000057335	ENSHGLG00000006465
ENSMUSG00000024575	ENSHGLG00000006466
ENSMUSG00000026087	ENSHGLG00000006467
ENSMUSG00000024831	ENSHGLG00000006468
ENSMUSG00000039533	ENSHGLG00000006470
ENSMUSG00000022297	ENSHGLG00000006472
ENSMUSG00000035401	ENSHGLG00000006473
ENSMUSG00000025583	ENSHGLG00000006474
ENSMUSG00000015839	ENSHGLG00000006475
ENSMUSG00000030200	ENSHGLG00000006476
ENSMUSG00000022629	ENSHGLG00000006477
ENSMUSG00000047446	ENSHGLG00000006478
ENSMUSG00000078619	ENSHGLG00000006479
ENSMUSG00000022272	ENSHGLG00000006481
ENSMUSG00000039176	ENSHGLG00000006483
ENSMUSG00000031605	ENSHGLG00000006484
ENSMUSG00000036822	ENSHGLG00000006485
ENSMUSG00000038539	ENSHGLG00000006486
ENSMUSG00000042328	ENSHGLG00000006487
ENSMUSG00000079557	ENSHGLG00000006489
ENSMUSG00000028969	ENSHGLG00000006490
ENSMUSG00000020185	ENSHGLG00000006491
ENSMUSG00000063889	ENSHGLG00000006493
ENSMUSG00000046491	ENSHGLG00000006494
ENSMUSG00000048865	ENSHGLG00000006495
ENSMUSG00000057963	ENSHGLG00000006496
ENSMUSG00000029722	ENSHGLG00000006498
ENSMUSG00000005338	ENSHGLG00000006499
ENSMUSG00000024028	ENSHGLG00000006500
ENSMUSG00000024857	ENSHGLG00000006502
ENSMUSG00000036864	ENSHGLG00000006503
ENSMUSG00000005732	ENSHGLG00000006504
ENSMUSG00000027070	ENSHGLG00000006508
ENSMUSG00000062234	ENSHGLG00000006510
ENSMUSG00000063873	ENSHGLG00000006511
ENSMUSG00000027242	ENSHGLG00000006513
ENSMUSG00000021253	ENSHGLG00000006517
ENSMUSG00000032114	ENSHGLG00000006518
ENSMUSG00000024875	ENSHGLG00000006520
ENSMUSG00000003809	ENSHGLG00000006522
ENSMUSG00000061981	ENSHGLG00000006524
ENSMUSG00000024617	ENSHGLG00000006526
ENSMUSG00000005220	ENSHGLG00000006527
ENSMUSG00000006412	ENSHGLG00000006528
ENSMUSG00000042345	ENSHGLG00000006531
ENSMUSG00000021235	ENSHGLG00000006532
ENSMUSG00000033075	ENSHGLG00000006533
ENSMUSG00000027230	ENSHGLG00000006536
ENSMUSG00000043510	ENSHGLG00000006538
ENSMUSG00000046985	ENSHGLG00000006539
ENSMUSG00000030750	ENSHGLG00000006540
ENSMUSG00000025437	ENSHGLG00000006541
ENSMUSG00000052748	ENSHGLG00000006542
ENSMUSG00000003346	ENSHGLG00000006544
ENSMUSG00000011958	ENSHGLG00000006545
ENSMUSG00000066438	ENSHGLG00000006547
ENSMUSG00000031609	ENSHGLG00000006548
ENSMUSG00000056569	ENSHGLG00000006550
ENSMUSG00000031167	ENSHGLG00000006552
ENSMUSG00000015854	ENSHGLG00000006555
ENSMUSG00000054199	ENSHGLG00000006556
ENSMUSG00000022679	ENSHGLG00000006559
ENSMUSG00000032215	ENSHGLG00000006561
ENSMUSG00000038704	ENSHGLG00000006564
ENSMUSG00000024603	ENSHGLG00000006565
ENSMUSG00000038370	ENSHGLG00000006566
ENSMUSG00000038074	ENSHGLG00000006567
ENSMUSG00000031848	ENSHGLG00000006568
ENSMUSG00000030219	ENSHGLG00000006570
ENSMUSG00000015542	ENSHGLG00000006571
ENSMUSG00000030162	ENSHGLG00000006572
ENSMUSG00000040720	ENSHGLG00000006573
ENSMUSG00000074607	ENSHGLG00000006575
ENSMUSG00000028214	ENSHGLG00000006576
ENSMUSG00000048234	ENSHGLG00000006577
ENSMUSG00000037904	ENSHGLG00000006578
ENSMUSG00000016028	ENSHGLG00000006579
ENSMUSG00000044122	ENSHGLG00000006580
ENSMUSG00000054150	ENSHGLG00000006581
ENSMUSG00000027488	ENSHGLG00000006583
ENSMUSG00000025584	ENSHGLG00000006584
ENSMUSG00000038848	ENSHGLG00000006585
ENSMUSG00000035963	ENSHGLG00000006586
ENSMUSG00000028133	ENSHGLG00000006587
ENSMUSG00000036109	ENSHGLG00000006589
ENSMUSG00000029595	ENSHGLG00000006590
ENSMUSG00000024989	ENSHGLG00000006591
ENSMUSG00000002100	ENSHGLG00000006592
ENSMUSG00000072825	ENSHGLG00000006593
ENSMUSG00000029233	ENSHGLG00000006595
ENSMUSG00000018401	ENSHGLG00000006597
ENSMUSG00000038224	ENSHGLG00000006598
ENSMUSG00000025781	ENSHGLG00000006601
ENSMUSG00000037989	ENSHGLG00000006602
ENSMUSG00000036114	ENSHGLG00000006603
ENSMUSG00000061436	ENSHGLG00000006604
ENSMUSG00000042046	ENSHGLG00000006608
ENSMUSG00000024150	ENSHGLG00000006612
ENSMUSG00000073838	ENSHGLG00000006613
ENSMUSG00000004933	ENSHGLG00000006614
ENSMUSG00000046811	ENSHGLG00000006615
ENSMUSG00000034675	ENSHGLG00000006617
ENSMUSG00000041939	ENSHGLG00000006619
ENSMUSG00000032402	ENSHGLG00000006620
ENSMUSG00000042492	ENSHGLG00000006622
ENSMUSG00000027189	ENSHGLG00000006623
ENSMUSG00000020923	ENSHGLG00000006625
ENSMUSG00000001247	ENSHGLG00000006626
ENSMUSG00000058444	ENSHGLG00000006627
ENSMUSG00000004018	ENSHGLG00000006628
ENSMUSG00000024862	ENSHGLG00000006629
ENSMUSG00000029169	ENSHGLG00000006630
ENSMUSG00000021130	ENSHGLG00000006631
ENSMUSG00000028978	ENSHGLG00000006633
ENSMUSG00000021221	ENSHGLG00000006635
ENSMUSG00000036006	ENSHGLG00000006636
ENSMUSG00000073700	ENSHGLG00000006637
ENSMUSG00000055862	ENSHGLG00000006638
ENSMUSG00000118346	ENSHGLG00000006639
ENSMUSG00000036188	ENSHGLG00000006640
ENSMUSG00000025732	ENSHGLG00000006641
ENSMUSG00000021365	ENSHGLG00000006642
ENSMUSG00000039396	ENSHGLG00000006643
ENSMUSG00000037395	ENSHGLG00000006645
ENSMUSG00000060716	ENSHGLG00000006646
ENSMUSG00000055681	ENSHGLG00000006648
ENSMUSG00000001229	ENSHGLG00000006649
ENSMUSG00000021411	ENSHGLG00000006650
ENSMUSG00000020482	ENSHGLG00000006651
ENSMUSG00000053226	ENSHGLG00000006652
ENSMUSG00000028187	ENSHGLG00000006653
ENSMUSG00000003660	ENSHGLG00000006654
ENSMUSG00000053626	ENSHGLG00000006655
ENSMUSG00000060261	ENSHGLG00000006657
ENSMUSG00000029119	ENSHGLG00000006658
ENSMUSG00000021390	ENSHGLG00000006659
ENSMUSG00000028179	ENSHGLG00000006660
ENSMUSG00000049470	ENSHGLG00000006661
ENSMUSG00000015659	ENSHGLG00000006662
ENSMUSG00000037339	ENSHGLG00000006663
ENSMUSG00000064254	ENSHGLG00000006665
ENSMUSG00000028483	ENSHGLG00000006667
ENSMUSG00000030324	ENSHGLG00000006668
ENSMUSG00000003199	ENSHGLG00000006669
ENSMUSG00000034021	ENSHGLG00000006670
ENSMUSG00000028980	ENSHGLG00000006671
ENSMUSG00000020804	ENSHGLG00000006672
ENSMUSG00000032394	ENSHGLG00000006674
ENSMUSG00000038068	ENSHGLG00000006675
ENSMUSG00000100512	ENSHGLG00000006677
ENSMUSG00000031627	ENSHGLG00000006679
ENSMUSG00000026709	ENSHGLG00000006680
ENSMUSG00000038582	ENSHGLG00000006681
ENSMUSG00000034255	ENSHGLG00000006682
ENSMUSG00000046658	ENSHGLG00000006683
ENSMUSG00000040412	ENSHGLG00000006684
ENSMUSG00000030963	ENSHGLG00000006685
ENSMUSG00000056204	ENSHGLG00000006686
ENSMUSG00000028410	ENSHGLG00000006687
ENSMUSG00000075316	ENSHGLG00000006689
ENSMUSG00000031970	ENSHGLG00000006690
ENSMUSG00000064090	ENSHGLG00000006691
ENSMUSG00000034748	ENSHGLG00000006696
ENSMUSG00000062694	ENSHGLG00000006699
ENSMUSG00000029826	ENSHGLG00000006700
ENSMUSG00000043895	ENSHGLG00000006701
ENSMUSG00000025497	ENSHGLG00000006702
ENSMUSG00000029559	ENSHGLG00000006704
ENSMUSG00000075000	ENSHGLG00000006705
ENSMUSG00000029236	ENSHGLG00000006706
ENSMUSG00000068744	ENSHGLG00000006707
ENSMUSG00000038861	ENSHGLG00000006708
ENSMUSG00000022986	ENSHGLG00000006710
ENSMUSG00000025145	ENSHGLG00000006712
ENSMUSG00000025521	ENSHGLG00000006713
ENSMUSG00000029797	ENSHGLG00000006714
ENSMUSG00000021961	ENSHGLG00000006715
ENSMUSG00000025204	ENSHGLG00000006716
ENSMUSG00000017929	ENSHGLG00000006719
ENSMUSG00000032194	ENSHGLG00000006720
ENSMUSG00000038248	ENSHGLG00000006724
ENSMUSG00000043157	ENSHGLG00000006725
ENSMUSG00000034312	ENSHGLG00000006726
ENSMUSG00000019579	ENSHGLG00000006727
ENSMUSG00000000538	ENSHGLG00000006729
ENSMUSG00000021179	ENSHGLG00000006731
ENSMUSG00000022229	ENSHGLG00000006734
ENSMUSG00000002608	ENSHGLG00000006735
ENSMUSG00000034570	ENSHGLG00000006736
ENSMUSG00000042279	ENSHGLG00000006737
ENSMUSG00000063275	ENSHGLG00000006738
ENSMUSG00000036634	ENSHGLG00000006740
ENSMUSG00000070420	ENSHGLG00000006741
ENSMUSG00000109372	ENSHGLG00000006746
ENSMUSG00000007888	ENSHGLG00000006747
ENSMUSG00000074199	ENSHGLG00000006748
ENSMUSG00000022205	ENSHGLG00000006749
ENSMUSG00000038508	ENSHGLG00000006750
ENSMUSG00000031097	ENSHGLG00000006751
ENSMUSG00000039086	ENSHGLG00000006752
ENSMUSG00000052698	ENSHGLG00000006753
ENSMUSG00000025347	ENSHGLG00000006754
ENSMUSG00000029433	ENSHGLG00000006756
ENSMUSG00000036944	ENSHGLG00000006758
ENSMUSG00000056758	ENSHGLG00000006760
ENSMUSG00000021285	ENSHGLG00000006763
ENSMUSG00000038227	ENSHGLG00000006764
ENSMUSG00000051041	ENSHGLG00000006767
ENSMUSG00000062151	ENSHGLG00000006768
ENSMUSG00000030228	ENSHGLG00000006770
ENSMUSG00000030878	ENSHGLG00000006772
ENSMUSG00000038059	ENSHGLG00000006773
ENSMUSG00000005846	ENSHGLG00000006774
ENSMUSG00000026616	ENSHGLG00000006777
ENSMUSG00000037347	ENSHGLG00000006779
ENSMUSG00000047264	ENSHGLG00000006780
ENSMUSG00000043140	ENSHGLG00000006781
ENSMUSG00000025169	ENSHGLG00000006783
ENSMUSG00000031390	ENSHGLG00000006784
ENSMUSG00000043866	ENSHGLG00000006785
ENSMUSG00000045664	ENSHGLG00000006786
ENSMUSG00000089832	ENSHGLG00000006787
ENSMUSG00000042678	ENSHGLG00000006788
ENSMUSG00000057788	ENSHGLG00000006789
ENSMUSG00000028945	ENSHGLG00000006790
ENSMUSG00000022371	ENSHGLG00000006792
ENSMUSG00000074594	ENSHGLG00000006793
ENSMUSG00000021799	ENSHGLG00000006795
ENSMUSG00000020778	ENSHGLG00000006796
ENSMUSG00000030123	ENSHGLG00000006797
ENSMUSG00000019261	ENSHGLG00000006800
ENSMUSG00000095330	ENSHGLG00000006801
ENSMUSG00000040322	ENSHGLG00000006802
ENSMUSG00000018286	ENSHGLG00000006803
ENSMUSG00000051314	ENSHGLG00000006807
ENSMUSG00000026425	ENSHGLG00000006808
ENSMUSG00000022962	ENSHGLG00000006812
ENSMUSG00000074647	ENSHGLG00000006814
ENSMUSG00000056824	ENSHGLG00000006815
ENSMUSG00000043020	ENSHGLG00000006816
ENSMUSG00000045962	ENSHGLG00000006817
ENSMUSG00000030677	ENSHGLG00000006818
ENSMUSG00000026604	ENSHGLG00000006819
ENSMUSG00000027654	ENSHGLG00000006820
ENSMUSG00000034152	ENSHGLG00000006821
ENSMUSG00000013584	ENSHGLG00000006822
ENSMUSG00000024043	ENSHGLG00000006823
ENSMUSG00000032878	ENSHGLG00000006824
ENSMUSG00000035268	ENSHGLG00000006825
ENSMUSG00000061244	ENSHGLG00000006826
ENSMUSG00000021611	ENSHGLG00000006828
ENSMUSG00000044080	ENSHGLG00000006829
ENSMUSG00000070942	ENSHGLG00000006830
ENSMUSG00000054764	ENSHGLG00000006831
ENSMUSG00000000562	ENSHGLG00000006832
ENSMUSG00000035171	ENSHGLG00000006833
ENSMUSG00000020843	ENSHGLG00000006834
ENSMUSG00000021965	ENSHGLG00000006835
ENSMUSG00000009733	ENSHGLG00000006837
ENSMUSG00000022126	ENSHGLG00000006839
ENSMUSG00000028998	ENSHGLG00000006840
ENSMUSG00000068551	ENSHGLG00000006841
ENSMUSG00000023026	ENSHGLG00000006842
ENSMUSG00000024905	ENSHGLG00000006844
ENSMUSG00000039653	ENSHGLG00000006846
ENSMUSG00000051853	ENSHGLG00000006847
ENSMUSG00000067724	ENSHGLG00000006848
ENSMUSG00000035566	ENSHGLG00000006849
ENSMUSG00000040097	ENSHGLG00000006850
ENSMUSG00000003573	ENSHGLG00000006851
ENSMUSG00000095567	ENSHGLG00000006852
ENSMUSG00000003380	ENSHGLG00000006853
ENSMUSG00000073568	ENSHGLG00000006854
ENSMUSG00000040046	ENSHGLG00000006855
ENSMUSG00000038936	ENSHGLG00000006856
ENSMUSG00000032036	ENSHGLG00000006857
ENSMUSG00000025171	ENSHGLG00000006858
ENSMUSG00000030879	ENSHGLG00000006859
ENSMUSG00000045232	ENSHGLG00000006860
ENSMUSG00000047884	ENSHGLG00000006861
ENSMUSG00000037991	ENSHGLG00000006862
ENSMUSG00000030126	ENSHGLG00000006865
ENSMUSG00000096753	ENSHGLG00000006866
ENSMUSG00000029680	ENSHGLG00000006867
ENSMUSG00000003992	ENSHGLG00000006868
ENSMUSG00000040006	ENSHGLG00000006870
ENSMUSG00000024073	ENSHGLG00000006871
ENSMUSG00000076437	ENSHGLG00000006872
ENSMUSG00000023826	ENSHGLG00000006873
ENSMUSG00000109833	ENSHGLG00000006874
ENSMUSG00000036158	ENSHGLG00000006877
ENSMUSG00000024045	ENSHGLG00000006879
ENSMUSG00000015377	ENSHGLG00000006881
ENSMUSG00000029569	ENSHGLG00000006882
ENSMUSG00000026985	ENSHGLG00000006883
ENSMUSG00000038855	ENSHGLG00000006884
ENSMUSG00000022210	ENSHGLG00000006885
ENSMUSG00000031748	ENSHGLG00000006887
ENSMUSG00000032235	ENSHGLG00000006888
ENSMUSG00000073460	ENSHGLG00000006889
ENSMUSG00000009487	ENSHGLG00000006891
ENSMUSG00000031517	ENSHGLG00000006894
ENSMUSG00000038775	ENSHGLG00000006895
ENSMUSG00000039032	ENSHGLG00000006896
ENSMUSG00000044433	ENSHGLG00000006897
ENSMUSG00000014686	ENSHGLG00000006899
ENSMUSG00000028081	ENSHGLG00000006900
ENSMUSG00000030549	ENSHGLG00000006901
ENSMUSG00000051098	ENSHGLG00000006904
ENSMUSG00000090451	ENSHGLG00000006905
ENSMUSG00000024513	ENSHGLG00000006906
ENSMUSG00000029657	ENSHGLG00000006908
ENSMUSG00000026765	ENSHGLG00000006910
ENSMUSG00000020955	ENSHGLG00000006911
ENSMUSG00000041057	ENSHGLG00000006912
ENSMUSG00000032875	ENSHGLG00000006914
ENSMUSG00000061184	ENSHGLG00000006915
ENSMUSG00000026335	ENSHGLG00000006916
ENSMUSG00000030188	ENSHGLG00000006918
ENSMUSG00000027932	ENSHGLG00000006919
ENSMUSG00000044957	ENSHGLG00000006921
ENSMUSG00000022346	ENSHGLG00000006922
ENSMUSG00000025355	ENSHGLG00000006923
ENSMUSG00000061838	ENSHGLG00000006925
ENSMUSG00000048755	ENSHGLG00000006926
ENSMUSG00000051172	ENSHGLG00000006927
ENSMUSG00000064288	ENSHGLG00000006930
ENSMUSG00000073599	ENSHGLG00000006931
ENSMUSG00000022203	ENSHGLG00000006932
ENSMUSG00000029821	ENSHGLG00000006934
ENSMUSG00000031173	ENSHGLG00000006935
ENSMUSG00000005232	ENSHGLG00000006936
ENSMUSG00000024493	ENSHGLG00000006937
ENSMUSG00000037053	ENSHGLG00000006938
ENSMUSG00000025432	ENSHGLG00000006939
ENSMUSG00000017405	ENSHGLG00000006940
ENSMUSG00000032115	ENSHGLG00000006941
ENSMUSG00000031074	ENSHGLG00000006943
ENSMUSG00000019796	ENSHGLG00000006945
ENSMUSG00000024529	ENSHGLG00000006947
ENSMUSG00000031533	ENSHGLG00000006949
ENSMUSG00000033192	ENSHGLG00000006950
ENSMUSG00000059406	ENSHGLG00000006952
ENSMUSG00000079509	ENSHGLG00000006953
ENSMUSG00000021003	ENSHGLG00000006954
ENSMUSG00000030409	ENSHGLG00000006955
ENSMUSG00000011877	ENSHGLG00000006956
ENSMUSG00000066279	ENSHGLG00000006957
ENSMUSG00000002984	ENSHGLG00000006959
ENSMUSG00000029086	ENSHGLG00000006960
ENSMUSG00000029571	ENSHGLG00000006962
ENSMUSG00000004100	ENSHGLG00000006964
ENSMUSG00000026124	ENSHGLG00000006965
ENSMUSG00000030754	ENSHGLG00000006967
ENSMUSG00000004565	ENSHGLG00000006968
ENSMUSG00000036964	ENSHGLG00000006970
ENSMUSG00000041132	ENSHGLG00000006971
ENSMUSG00000024451	ENSHGLG00000006972
ENSMUSG00000034463	ENSHGLG00000006976
ENSMUSG00000030203	ENSHGLG00000006977
ENSMUSG00000054733	ENSHGLG00000006978
ENSMUSG00000035621	ENSHGLG00000006979
ENSMUSG00000004952	ENSHGLG00000006980
ENSMUSG00000070880	ENSHGLG00000006981
ENSMUSG00000049685	ENSHGLG00000006982
ENSMUSG00000028476	ENSHGLG00000006983
ENSMUSG00000025858	ENSHGLG00000006985
ENSMUSG00000020747	ENSHGLG00000006986
ENSMUSG00000027845	ENSHGLG00000006987
ENSMUSG00000090053	ENSHGLG00000006989
ENSMUSG00000029245	ENSHGLG00000006990
ENSMUSG00000078622	ENSHGLG00000006991
ENSMUSG00000020167	ENSHGLG00000006992
ENSMUSG00000040605	ENSHGLG00000006993
ENSMUSG00000061787	ENSHGLG00000006994
ENSMUSG00000028445	ENSHGLG00000006995
ENSMUSG00000025572	ENSHGLG00000006996
ENSMUSG00000049122	ENSHGLG00000006997
ENSMUSG00000022456	ENSHGLG00000006998
ENSMUSG00000026307	ENSHGLG00000006999
ENSMUSG00000036330	ENSHGLG00000007001
ENSMUSG00000029513	ENSHGLG00000007003
ENSMUSG00000038459	ENSHGLG00000007004
ENSMUSG00000005917	ENSHGLG00000007005
ENSMUSG00000047126	ENSHGLG00000007006
ENSMUSG00000025938	ENSHGLG00000007007
ENSMUSG00000028452	ENSHGLG00000007008
ENSMUSG00000074182	ENSHGLG00000007009
ENSMUSG00000021583	ENSHGLG00000007010
ENSMUSG00000091636	ENSHGLG00000007011
ENSMUSG00000053644	ENSHGLG00000007013
ENSMUSG00000053175	ENSHGLG00000007014
ENSMUSG00000027248	ENSHGLG00000007015
ENSMUSG00000006007	ENSHGLG00000007016
ENSMUSG00000029110	ENSHGLG00000007018
ENSMUSG00000003429	ENSHGLG00000007019
ENSMUSG00000048429	ENSHGLG00000007020
ENSMUSG00000022370	ENSHGLG00000007021
ENSMUSG00000029167	ENSHGLG00000007022
ENSMUSG00000024069	ENSHGLG00000007024
ENSMUSG00000028952	ENSHGLG00000007025
ENSMUSG00000085861	ENSHGLG00000007026
ENSMUSG00000073434	ENSHGLG00000007027
ENSMUSG00000026787	ENSHGLG00000007030
ENSMUSG00000024430	ENSHGLG00000007031
